ID,Nombre,Dirección,Descripción,Puntuación,Usuarios que puntuaron,Ciudad,Departamento,Teléfono,Sitio Web,Búsqueda,Categoría
7ad7efcf-4b9a-45b3-b37f-a0dc3c92625c,Distribuidora de Granos y Abarrotes El Rey,311 3677889,Distribuidor de comestibles,"3,9",(16),Apartadó,Antioquia,311 3677889,N/A,"Lacteos, Antioquia, Apartadó",Otros
5d64331d-0e49-42cb-b751-b075e8e14365,PUNTO DE VENTA ACTUAL SPP,"5,0(1)",N/A,"5,0",(1),Apartadó,Antioquia,N/A,N/A,"Lacteos, Antioquia, Apartadó",Otros
86a09823-f2e8-4f87-8c94-1902daeb954f,Bebidas Y Alimentos De Uraba,Chigorodó-Carepa,Bodega,"4,8",(22),Carepa,Antioquia,N/A,N/A,"Lacteos, Antioquia, Carepa",Productores Alimenticios
1b31fef5-075f-4eb9-b75f-fcca9ad45ef4,Carepa Antioquia,Carepa-Apartadó,Cafetería,"4,3",(175),Carepa,Antioquia,310 5202456,https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwjz8OOo6NjeAhV8_uMHHb4uDO4YABAAGgJ5bQ&ae=1&ohost=www.google.com.co&cid=CAESEeD2QiNKBRuTHfKgT077ALZk&sig=AOD64_1V1XWudAF3PY7klCBRTLGcw3iTzw&q&adurl=https://ads.google.com/intl/es-419_co/start?sourceid%3Dawo%26subid%3Dco-es-ha-g-aw-m-sk_mo_inc!o2~-1447072789-283038357021-kwd-23937715983%26%26gclid%3DCjwKCAiA8rnfBRB3EiwAhrhBGoeHH8MkhstaSrmOT_tt9CfsoCcwgPZw3s0n9-v98C6BlLh8uRtU-BoCDqAQAvD_BwE&ved=2ahUKEwj7gN2o6NjeAhVM11kKHaf7D0MQ0Qx6BAgOEAE,"Lacteos, Antioquia, Carepa",Otros
f3554b2b-9f80-4a22-8fb0-e4c97c211ecd,Central de carnes carepa,311 6510513,Carnicería,"5,0",(3),Carepa,Antioquia,311 6510513,N/A,"Lacteos, Antioquia, Carepa",Otros
f15431c2-a5fe-4064-abee-e76e313f8f4c,Mercados La Espiga,321 8167912,Supermercado,"4,6",(5),Chigorodó,Antioquia,321 8167912,N/A,"Lacteos, Antioquia, Chigorodó",Otros
b4d5610a-14c3-4253-b828-04541f864391,Lacteos Rionegro,Tienda de alimentación,N/A,"4,4",(184),Chigorodó,Antioquia,45315555,N/A,"Lacteos, Antioquia, Chigorodó",Otros
e3df86f3-65db-4799-b63e-7cfcb9d12dab,Lácteos La Fontana,311 7192856,Proveedor de lácteos,"4,6",(42),Chigorodó,Antioquia,311 7192856,N/A,"Lacteos, Antioquia, Chigorodó",Lácteos
2dd5159c-3a39-4de9-8773-2270e8b13061,Lacteos Buenavista,"Km 3 vía, La Unión-Sonson",Quesería,"4,7",(1.673),Chigorodó,Antioquia,320 6458944,N/A,"Lacteos, Antioquia, Chigorodó",Otros
cb06712f-db6c-4650-ae49-9ee6f95a9fd1,Lácteos Tierra Grata,Agrosereno,Proveedor de lácteos,"4,5",(12),Chigorodó,Antioquia,310 4478175,N/A,"Lacteos, Antioquia, Chigorodó",Lácteos
0715c9ae-f825-48ba-be1e-a9fc0437f5b3,Agrosol,No hay reseñas,N/A,N/A,N/A,Chigorodó,Antioquia,N/A,N/A,"Lacteos, Antioquia, Chigorodó",Otros
fc9327fd-4e0c-44bb-a715-932ed55dc4d8,Distribuidora de Lacteos R.A.,304 5288805,Supermercado,"4,9",(7),Bogotá,Bogotá,304 5288805,N/A,"Lacteos, Bogotá, Bogotá",Otros
